sl_no,state_ut,homeless_total,homeless_urban,homeless_rural,source
1,Andhra Pradesh (incl. Telangana),145211,75857,69354,Census 2011 - MoHUA PIB Reply PRID 1783924
2,Arunachal Pradesh,1556,313,1243,Census 2011 - MoHUA PIB Reply PRID 1783924
3,Assam,12919,2527,10392,Census 2011 - MoHUA PIB Reply PRID 1783924
4,Bihar,45584,12591,32993,Census 2011 - MoHUA PIB Reply PRID 1783924
5,Chhattisgarh,24214,6533,17681,Census 2011 - MoHUA PIB Reply PRID 1783924
6,Goa,3051,1693,1358,Census 2011 - MoHUA PIB Reply PRID 1783924
7,Gujarat,144306,84822,59484,Census 2011 - MoHUA PIB Reply PRID 1783924
8,Haryana,51871,23789,28082,Census 2011 - MoHUA PIB Reply PRID 1783924
9,Himachal Pradesh,4098,872,3226,Census 2011 - MoHUA PIB Reply PRID 1783924
10,Jammu & Kashmir,19047,10848,8199,Census 2011 - MoHUA PIB Reply PRID 1783924
11,Jharkhand,23391,6967,16424,Census 2011 - MoHUA PIB Reply PRID 1783924
12,Karnataka,76735,35473,41262,Census 2011 - MoHUA PIB Reply PRID 1783924
13,Kerala,11853,7761,4092,Census 2011 - MoHUA PIB Reply PRID 1783924
14,Madhya Pradesh,146435,66055,80380,Census 2011 - MoHUA PIB Reply PRID 1783924
15,Maharashtra,210908,111373,99535,Census 2011 - MoHUA PIB Reply PRID 1783924
16,Manipur,3212,1331,1881,Census 2011 - MoHUA PIB Reply PRID 1783924
17,Meghalaya,1241,177,1064,Census 2011 - MoHUA PIB Reply PRID 1783924
18,Mizoram,152,104,48,Census 2011 - MoHUA PIB Reply PRID 1783924
19,Nagaland,876,344,532,Census 2011 - MoHUA PIB Reply PRID 1783924
20,Odisha,34061,14053,20008,Census 2011 - MoHUA PIB Reply PRID 1783924
21,Punjab,46714,18374,28340,Census 2011 - MoHUA PIB Reply PRID 1783924
22,Rajasthan,181544,73236,108308,Census 2011 - MoHUA PIB Reply PRID 1783924
23,Sikkim,277,32,245,Census 2011 - MoHUA PIB Reply PRID 1783924
24,Tamil Nadu,50929,37117,13812,Census 2011 - MoHUA PIB Reply PRID 1783924
25,Tripura,3225,1352,1873,Census 2011 - MoHUA PIB Reply PRID 1783924
26,Uttar Pradesh,329125,180929,148196,Census 2011 - MoHUA PIB Reply PRID 1783924
27,Uttarakhand,11824,5556,6268,Census 2011 - MoHUA PIB Reply PRID 1783924
28,West Bengal,134040,104967,29073,Census 2011 - MoHUA PIB Reply PRID 1783924
29,Andaman & Nicobar Islands,95,65,30,Census 2011 - MoHUA PIB Reply PRID 1783924
30,Chandigarh,4139,4133,6,Census 2011 - MoHUA PIB Reply PRID 1783924
31,Dadra & Nagar Haveli,1004,281,723,Census 2011 - MoHUA PIB Reply PRID 1783924
32,Daman & Diu,737,591,146,Census 2011 - MoHUA PIB Reply PRID 1783924
33,NCT of Delhi,47076,46724,352,Census 2011 - MoHUA PIB Reply PRID 1783924
34,Puducherry,1590,1508,82,Census 2011 - MoHUA PIB Reply PRID 1783924
35,INDIA TOTAL,1773040,938348,834692,Census 2011 - MoHUA PIB Reply PRID 1783924
