sl_no,year,loans_disbursed_amount_crore,total_loans_count,cumulative_beneficiaries_lakh,notes,source
1,2020-21,2039,NA,NA,Scheme launched June 2020 amid COVID-19,Rajya Sabha Session 262 Starred Q78 Dec 2023 - OrissaPost
2,2021-22,1248,NA,NA,Second year - slower post-COVID recovery phase,Rajya Sabha Session 262 Starred Q78 Dec 2023
3,2022-23,1866,NA,NA,Uptick as scheme awareness grew,Rajya Sabha Session 262 Starred Q78 Dec 2023
4,2023-24 (upto Dec 2023),4637,NA,NA,Highest single-year amount - scheme matured,Rajya Sabha Session 262 Starred Q78 Dec 2023
5,Cumulative (as on Mar 2024),11127,8327000,63,56% male 44% female; 65% SC/ST/OBC,PIB Factsheet March 15 2024
6,Cumulative (as on Jul 2024),11713,8638000,NA,86.38 lakh loans; 31.73 lakh repaid,Rajya Sabha Reply Jul 29 2024 - NewsonAIR
7,Cumulative (as on Dec 2024),13422,9431000,68,94.31 lakh loans; 40.36 lakh repaid,IBEF - Rajya Sabha Dec 8 2024
8,Cumulative (as on Jul 2025),13797,9600000,68,96 lakh loans; 47 lakh digitally active,PIB Cabinet Press Release Aug 2025
9,Cumulative (as on Mar 2026),17115,10000000,NA,Over 1 crore loans total,Rajya Sabha Reply Mar 30 2026 - NewsonAIR
